North Carolina,,991728,231783,104732,127051,759945,402155,357790,,6283973,599394,259685,339709,5684579,2819882,2864697,,485139,90008,40105,49903,395131,196990,198141,,365429,88337,39293,49044,277092,150490,126602,,6635,1600,759,841,5035,2531,2504,,308031,29425,13457,15968,278606,135755,142851,,110567,26484,11775,14709,84083,40879,43204,,2113081,445971,191524,254447,1667110,786012,881098,,6703877,697847,305133,392714,6006030,2988147,3017883,,7084876,776686,1787594,2181433,1481848,621189,134988,101138,,3386575,424763,910906,982885,679360,257843,75142,55676,,3698301,351923,876688,1198548,802488,363346,59846,45462,,4845768,1932646,790717,995405,25431,412279,689290,327535,361755,,4034684,235452,183386,176464,184679,191030,192550,183368,181589,161782,312862,399234,512372,357498,237824,244476,280118,,10367022,5067666,304889,319048,346840,205862,504452,680742,642983,668994,647688,477261,205600,63307,5299356,289115,308334,329006,199221,475379,695259,668015,692480,702480,553464,268601,118002,,10092759,1379672,602046,777626,8713087,4300804,4412283,,10367022,6865508,2193147,113719,314690,7119,372381,500458,,2639689,2499821,139868,,2479708,2345947,133761
North Dakota,,30498,5547,2920,2627,24951,13282,11669,,624280,51792,23358,28434,572488,296387,276101,,28786,4573,1945,2628,24213,12040,12173,,9484,1756,996,760,7728,3909,3819,,1175,498,297,201,677,385,292,,11985,2318,1341,977,9667,4612,5055,,37633,11671,5308,6363,25962,13205,12757,,23422,6057,2760,3297,17365,10293,7072,,637208,53517,24295,29222,583691,302452,281239,,503897,33831,131400,182014,112023,32085,7056,5488,,257650,18730,72737,93493,52656,13040,4128,2866,,246247,15101,58663,88521,59367,19045,2928,2622,,403612,156596,70138,78680,6472,40963,50763,19811,30952,,316542,16890,11838,11488,12974,13260,12908,12413,12793,11241,24847,31240,43965,32804,23736,22989,21156,,773344,397093,27612,26774,26311,13946,44800,61657,50465,41873,48776,33924,14654,6301,376251,25805,25531,24432,14047,40189,52846,44343,39041,46698,33768,18900,10651,,749693,80390,36942,43448,669303,346896,322407,,773344,656584,24349,39103,12313,1194,10002,29799,,225884,217874,8010,,190880,185738,5142
Ohio,,466692,107719,49564,58155,358973,187593,171380,,8929272,919976,404614,515362,8009296,4000355,4008941,,488509,104744,48498,56246,383765,192060,191705,,138365,33990,17613,16377,104375,55962,48413,,3690,1236,566,670,2454,1010,1444,,269395,32698,14873,17825,236697,114942,121755,,17625,4038,1960,2078,13587,6878,6709,,1389779,385540,173530,212010,1004239,484766,519473,,9143983,966717,423976,542741,8177266,4086352,4090914,,8077453,715751,2636855,2326518,1483021,674554,145311,95443,,3914049,369382,1339204,1072851,709485,283772,84527,54828,,4163404,346369,1297651,1253667,773536,390782,60784,40615,,5656463,2172892,934501,1175651,16584,403649,953186,460416,492770,,4754161,293381,198612,200089,211550,213393,219014,206483,213030,184945,372687,484104,628149,444313,291036,300551,292824,,11769923,5800004,351995,366508,390216,237370,539866,776454,715930,737774,792324,564936,240950,85681,5969919,337131,346303,374155,226311,522615,766804,714127,741114,828124,632006,322440,158789,,11451346,1528963,681016,847947,9922383,4941970,4980413,,11769923,9374538,1452530,18416,276828,3899,141320,502392,,3110793,2939506,171287,,2860076,2716957,143119
Oklahoma,,432636,95614,46146,49468,337022,177382,159640,,2468989,297580,131066,166514,2171409,1086024,1085385,,383574,72328,33197,39131,311246,155212,156034,,116388,26729,13012,13717,89659,48733,40926,,6480,1957,772,1185,4523,2573,1950,,86947,12510,5427,7083,74437,34595,39842,,295387,56497,26081,30416,238890,118580,120310,,267620,70535,31629,38906,197085,99479,97606,,2681411,343297,153093,190204,2338114,1173662,1164452,,2607741,293373,803726,810500,457256,173720,40742,28424,,1276548,155556,413134,378264,213598,74948,24284,16764,,1331193,137817,390592,432236,243658,98772,16458,11660,,1786742,649198,305246,381464,11321,184674,254839,114730,140109,,1503868,92674,69483,66247,75007,81477,73014,69968,70191,61686,125760,154893,190964,132614,82464,80411,77015,,3948136,1964927,129519,136180,142822,82948,196910,271531,254745,231695,241267,173216,80827,23267,1983209,123410,130675,136325,79191,182415,264085,248358,228277,251951,193816,101377,43329,,3837807,583853,263211,320642,3253954,1632834,1621120,,3948136,2752553,284536,303792,88601,6760,118507,393387,,1001240,949385,51855,,880358,837357,43001
Oregon,,559233,89722,42360,47362,469511,247276,222235,,3062714,330323,151601,178722,2732391,1362626,1369765,,317238,44925,20594,24331,272313,136744,135569,,155873,24857,12110,12747,131016,71103,59913,,16808,3318,1681,1637,13490,7053,6437,,183455,22127,10844,11283,161328,75084,86244,,44146,9214,3887,5327,34932,18051,16881,,74410,18019,9296,8723,56391,30960,25431,,3336403,376057,172565,203492,2960346,1479881,1480465,,2971396,252602,668083,1009617,644813,275519,68616,52146,,1463373,138167,342678,483933,310029,120100,38361,30105,,1508023,114435,325405,525684,334784,155419,30255,22041,,2026107,830571,352631,413446,31277,148555,249627,107979,141648,,1658091,84552,60961,60383,63212,63681,66602,66314,67675,58960,122270,167046,223511,168085,114788,130812,139239,,4207177,2096429,114886,124130,131624,77796,184620,300714,292494,262643,264235,220081,90549,32657,2110748,108729,117183,125449,73689,177675,292074,283177,254881,278053,241273,108052,50513,,4128333,498517,230977,267540,3629816,1818876,1810940,,4207177,3394838,77913,46075,186724,17272,158743,325612,,1133390,1068250,65140,,1013303,957857,55446
Pennsylvania,,990818,250208,116823,133385,740610,383001,357609,,9468656,798912,347359,451553,8669744,4320375,4349369,,537262,93461,41477,51984,443801,222326,221475,,341763,101024,48136,52888,240739,127159,113580,,4047,809,423,386,3238,1391,1847,,447017,58478,28036,30442,388539,189314,199225,,19421,4123,2107,2016,15298,7651,7647,,1344982,331112,146213,184899,1013870,487411,526459,,9873760,893804,390154,503650,8979956,4478640,4501316,,9111497,787376,3079339,2227532,1813647,859980,196159,147464,,4423782,406277,1537412,1044879,882002,358275,112333,82604,,4687715,381099,1541927,1182653,931645,501705,83826,64860,,6295594,2558273,1050891,1288223,25386,474759,898062,371754,526308,,5147783,275900,206667,208376,210528,215268,217916,205703,206611,184076,375745,503653,679745,502626,342972,380936,431061,,12970650,6394217,358907,372560,407426,247022,584520,864033,784542,824294,903026,651629,285611,110647,6576433,341885,360844,381917,233921,570151,837065,774036,825896,936815,723262,380943,209698,,12568252,1482811,656546,826265,11085441,5513892,5571549,,12970650,10153752,1425210,20511,460932,4426,350618,555201,,3477571,3278110,199461,,3185319,3017484,167835
Rhode Island,,173832,40233,19043,21190,133599,68605,64994,,741209,56189,23507,32682,685020,337603,347417,,69767,11694,5847,5847,58073,29059,29014,,64954,16119,7689,8430,48835,25756,23079,,654,124,73,51,530,310,220,,35297,4553,1713,2840,30744,15367,15377,,4194,1091,606,485,3103,1469,1634,,65751,12681,5595,7086,53070,26832,26238,,809697,71995,30365,41630,737702,364233,373469,,766615,83508,213716,198622,160523,77992,18212,14042,,369734,41991,108907,91066,76428,33388,10442,7512,,396881,41517,104809,107556,84095,44604,7770,6530,,552707,225984,101248,119202,1039,39774,65460,30213,35247,,426769,21194,20657,16203,16353,15283,15553,14531,16989,12434,27596,37772,57528,45140,33926,37039,38571,,1091949,534283,28236,28728,32137,19833,55615,77010,65678,69183,74894,52110,22662,8197,557666,27134,28605,29268,18722,57056,74208,65182,71828,80046,58004,31057,16556,,1050314,118257,51888,66369,932057,463026,469031,,1091949,841181,69398,4437,37701,689,66575,71968,,302102,282813,19289,,286033,269894,16139
South Carolina,,296380,68654,33624,35030,227726,121871,105855,,3134661,310283,135832,174451,2824378,1397263,1427115,,194795,33941,15603,18338,160854,79340,81514,,107486,28592,14983,13609,78894,44962,33932,,4389,894,423,471,3495,1710,1785,,81384,9142,4613,4529,72242,33935,38307,,15280,4072,2067,2005,11208,5970,5238,,1285282,304656,129230,175426,980626,464298,516328,,3257500,337048,147463,189585,2920452,1448129,1472323,,3507171,393448,1008011,1059288,653988,288540,60868,43028,,1669228,209489,502804,473326,311093,113004,34729,24783,,1837943,183959,505207,585962,342895,175536,26139,18245,,2313378,846939,397008,495012,9062,204090,361267,182503,178764,,1976447,136273,88573,88732,93884,93387,97356,88094,90599,79335,156392,198401,251920,168104,113602,114473,117322,,5078903,2474059,146308,155195,167163,97971,238194,324208,305203,310404,324491,260748,113123,31051,2604844,139164,151791,158207,94004,223735,336392,318240,327681,359055,300550,141027,54998,,4946116,718345,314382,403963,4227771,2078344,2149427,,5078903,3334961,1328691,15595,83441,4545,109896,201774,,1257921,1191762,66159,,1186081,1121616,64465
South Dakota,,35902,7084,3157,3927,28818,15355,13463,,692293,56606,25011,31595,635687,325176,310511,,37068,6964,3455,3509,30104,15197,14907,,8345,1616,726,890,6729,3510,3219,,702,207,107,100,495,273,222,,12266,1637,753,884,10629,4950,5679,,69177,33981,16100,17881,35196,17355,17841,,18323,3240,1618,1622,15083,8701,6382,,707294,58646,25832,32814,648648,332242,316406,,580235,43328,174791,188079,119331,38009,10182,6515,,292106,23894,94934,90521,56393,16355,6302,3707,,288129,19434,79857,97558,62938,21654,3880,2808,,448357,168836,75598,93895,7873,39835,62320,29214,33106,,345779,16122,13569,13239,15046,14673,17636,14749,16039,14064,27626,36763,51170,35402,22050,19680,17951,,881785,446461,30241,31312,31887,18202,42713,59518,55526,49291,58835,44416,18047,6473,435324,29297,30911,29840,17008,40139,53958,51507,46771,58045,44040,21582,12226,,853175,106291,48591,57700,746884,382228,364656,,881785,728526,19300,73296,12677,753,8714,38519,,246061,236986,9075,,217137,211371,5766
Tennessee,,386626,89799,43780,46019,296827,157763,139064,,4895073,559662,244893,314769,4335411,2157497,2177914,,254264,49199,22633,26566,205065,104965,100100,,121227,31008,14637,16371,90219,48243,41976,,4018,834,295,539,3184,1436,1748,,122774,11574,4901,6673,111200,52619,58581,,14096,3277,1711,1566,10819,5690,5129,,1090429,256872,110362,146510,833557,398255,435302,,5086104,603165,266178,336987,4482939,2234399,2248540,,4708480,529162,1485813,1326294,859255,356100,87302,64554,,2265508,279731,749397,601793,405266,145270,48189,35862,,2442972,249431,736416,724501,453989,210830,39113,28692,,3201140,1184226,521652,684644,12590,264241,533787,249291,284496,,2664791,165651,125923,122746,121839,126281,128200,125032,124541,108666,211947,273378,340089,235515,144914,151364,158705,,6859497,3362099,207621,213730,227633,135614,311993,464442,427727,438241,435497,320313,141284,38004,3497398,198246,201896,219898,129605,304781,472712,435260,447380,469031,362893,183042,72654,,6692912,955929,420717,535212,5736983,2845607,2891376,,6859497,5198206,1130608,15219,125581,4312,123978,261593,,1762618,1671825,90793,,1618090,1529315,88775
Texas,,11291275,2177111,979588,1197523,9114164,4684708,4429456,,11502045,946094,415792,530302,10555951,5292909,5263042,,3091982,513492,235657,277835,2578490,1310738,1267752,,1989738,398635,184366,214269,1591103,842833,748270,,23703,4232,1950,2282,19471,9487,9984,,1436748,138821,68009,70812,1297927,628469,669458,,143949,21265,10035,11230,122684,64210,58474,,3364471,627050,276612,350438,2737421,1325441,1411980,,18209673,2261622,997698,1263924,15948051,8043590,7904461,,18619469,2826181,4563619,5358474,3791665,1522588,327556,229386,,9158236,1457318,2316330,2561921,1803421,698444,187395,133407,,9461233,1368863,2247289,2796553,1988244,824144,140161,95979,,13618630,5245369,2262556,2927917,54073,1375441,1753274,672181,1081093,,10239341,582804,381790,380507,413003,431492,439416,406866,424814,369600,764124,1003541,1297103,975061,686142,787514,895564,,28862581,14398171,1000733,1043347,1111175,647804,1436876,2120302,2011317,1790202,1603097,1051370,441658,140290,14464410,958490,998344,1065663,620620,1360060,2059727,1967990,1785594,1660442,1181847,561956,243677,,28260264,3965117,1774327,2190790,24295147,12224768,12070379,,28862581,18566027,3499862,147892,1452713,24608,2019394,3152085,,7825106,7414563,410543,,6565110,6204067,361043
Utah,,456749,62762,29399,33363,393987,204589,189398,,2463623,181211,81940,99271,2282412,1157984,1124428,,179779,17301,8521,8780,162478,83676,78802,,163651,24582,11129,13453,139069,73563,65506,,28584,2671,1321,1350,25913,13303,12610,,74124,9031,4289,4742,65093,30427,34666,,32364,7660,3460,4200,24704,12196,12508,,36837,7815,3801,4014,29022,16903,12119,,2667353,209426,95407,114019,2457927,1247204,1210723,,1921860,132503,435611,672887,450953,166433,35638,27835,,962517,70839,213082,318531,223245,93248,24164,19408,,959343,61664,222529,354356,227708,73185,11474,8427,,1590143,642509,233263,366163,5102,136628,206478,95022,111456,,1033651,36609,26427,26102,27933,34900,37034,34441,40067,36983,75298,112196,156374,122817,87243,90896,88331,,3231370,1633843,125819,136703,140717,82895,185192,239874,229722,172254,152357,106686,46514,15110,1597527,119820,129864,131992,78253,178255,230615,219284,164933,154653,113878,54996,20984,,3182692,278486,127928,150558,2904206,1477272,1426934,,3231370,2704561,38545,33242,75530,29086,168048,182358,,914454,882848,31606,,733859,707295,26564
Vermont,,11993,1745,734,1011,10248,5060,5188,,568984,56919,25247,31672,512065,256957,255108,,20508,3180,1418,1762,17328,8892,8436,,2898,349,162,187,2549,1219,1330,,141,5,0,5,136,68,68,,10019,1671,841,830,8348,3450,4898,,1464,365,145,220,1099,598,501,,7266,1474,916,558,5792,3476,2316,,574805,57918,25617,32301,516887,259297,257590,,454463,27915,127128,113730,110000,54302,11805,9583,,221540,17049,69255,52929,50591,20255,6286,5175,,232923,10866,57873,60801,59409,34047,5519,4408,,335239,147819,54254,62697,4438,29540,36491,19740,16751,,262514,10819,12115,9917,10502,11166,10726,10661,10423,9655,19586,27131,36387,27173,18568,18858,18827,,641637,318533,15119,17222,18161,11305,35186,38087,36770,40240,48289,37692,15604,4858,323104,14049,15342,16997,10694,33099,37288,37734,40981,49943,39667,18545,8765,,617101,64962,29099,35863,552139,277000,275139,,641637,596282,8166,1520,10759,165,3123,21622,,177296,169085,8211,,171611,166154,5457
Virginia,,815809,105424,45431,59993,710385,372445,337940,,5071159,388020,172618,215402,4683139,2337117,2346022,,488039,50352,22398,27954,437687,222811,214876,,259943,43364,19027,24337,216579,116077,100502,,4941,517,260,257,4424,2229,2195,,569242,40224,18660,21564,529018,249400,279618,,22771,2439,1108,1331,20332,10312,10020,,1559301,261009,110436,150573,1298292,625585,672707,,5432831,430759,191218,239541,5002072,2502106,2499966,,5882521,539599,1402487,1568038,1338831,762490,155464,115612,,2858838,281962,719050,720827,627514,356300,87219,65966,,3023683,257637,683437,847211,711317,406190,68245,49646,,4219781,1954214,682362,807573,14146,316525,444961,174810,270151,,3248528,150800,98723,99883,107792,112852,110605,108521,113732,106067,221224,292323,414535,328875,243458,315040,424098,,8582479,4245281,256734,266854,280270,166637,415948,593484,568853,555240,546869,376160,165350,52882,4337198,244760,252006,266690,158801,391258,581961,567392,564357,575765,427110,215887,91211,,8337068,828664,363107,465557,7508404,3728520,3779884,,8582479,5574307,1631941,24007,578210,5313,265361,503340,,2293624,2188229,105395,,2128964,2031552,97412
Washington,,987113,162935,73250,89685,824178,434451,389727,,4982631,407308,182795,224513,4575323,2312296,2263027,,639886,78595,36947,41648,561291,281503,279788,,370549,66962,30920,36042,303587,167136,136451,,49691,7029,3225,3804,42662,22200,20462,,672039,58435,26448,31987,613604,291698,321906,,86925,18100,8789,9311,68825,33350,35475,,283133,49462,23993,25469,233671,129282,104389,,5376534,468321,209012,259309,4908213,2484068,2424145,,5278652,426501,1150293,1733850,1217575,544325,120128,85980,,2629251,227216,601758,832267,598429,254000,65702,49879,,2649401,199285,548535,901583,619146,290325,54426,36101,,3701656,1610719,595569,705511,54852,291679,443326,169973,273353,,2931841,122237,84336,83289,88319,93924,93696,96944,103507,94566,200810,278463,391503,316297,232045,287746,364159,,7617364,3831964,230732,242605,245314,142233,341829,596836,534910,476959,478018,350206,143665,48657,3785400,218811,230501,233793,136471,316423,555320,509190,462317,487330,382040,171014,82190,,7478757,746904,339334,407570,6731853,3409237,3322616,,7617364,5465011,293401,90789,682711,50902,378956,655594,,2098569,1990888,107681,,1801346,1710768,90578
West Virginia,,28222,5683,2735,2948,22539,12015,10524,,1604257,258989,114691,144298,1345268,678057,667211,,53879,13792,6187,7605,40087,21305,18782,,9207,2405,1247,1158,6802,3715,3087,,677,223,0,223,454,220,234,,13663,2057,978,1079,11606,5252,6354,,1700,345,171,174,1355,577,778,,53602,14774,6951,7823,38828,21108,17720,,1618321,262036,116016,146020,1356285,683827,672458,,1277914,152581,512232,334820,165975,81546,17591,13169,,626370,81785,266651,151202,77665,30887,10461,7719,,651544,70796,245581,183618,88310,50659,7130,5450,,736088,254206,138512,156026,2399,77141,107804,41754,66050,,711352,55868,41534,41769,40261,38139,35538,35333,32366,29709,57258,68655,84207,57019,34410,31940,27346,,1801049,896723,48062,51311,56100,33282,81598,107520,110481,117303,126256,104964,46984,12862,904326,45161,49064,51980,31535,75042,103404,107524,115369,131182,112762,55554,25749,,1751049,295632,131550,164082,1455417,736004,719413,,1801049,1658405,61143,1911,13882,683,9562,55463,,417436,388291,29145,,368929,347797,21132
Wisconsin,,413927,77025,36902,40123,336902,175556,161346,,4603131,373958,163465,210493,4229173,2137125,2092048,,252256,42014,19076,22938,210242,106044,104198,,127945,25516,12761,12755,102429,54925,47504,,2703,561,217,344,2142,1207,935,,162733,23048,11926,11122,139685,67923,71762,,43940,10262,5157,5105,33678,16825,16853,,351633,102614,45871,56743,249019,121840,127179,,4785729,406617,178740,227877,4379112,2212915,2166197,,4027685,285275,1209751,1264360,833670,312037,70286,52306,,1994887,158896,633598,612410,388282,130406,41644,29651,,2032798,126379,576153,651950,445388,181631,28642,22655,,3014612,1145124,479062,596737,25574,233150,534965,289602,245363,,2401818,101769,90814,82364,101137,105524,101033,95939,101936,99103,194576,256538,344384,248943,164770,165972,147016,,5871661,2937621,168590,180072,195924,117764,280384,375284,370951,371519,416624,292854,124187,43468,2934040,160734,173541,183963,112356,270648,359871,357763,361060,417535,306333,149977,80259,,5726939,610632,273748,336884,5116307,2581679,2534628,,5871661,4894019,372439,45831,166670,2862,130363,259477,,1634843,1572544,62299,,1488786,1442068,46718
Wyoming,,57649,10114,5054,5060,47535,25559,21976,,468194,43447,19383,24064,424747,219043,205704,,27811,2590,1244,1346,25221,12636,12585,,13026,2285,1197,1088,10741,6336,4405,,430,74,11,63,356,137,219,,4936,732,227,505,4204,1738,2466,,12436,3094,1346,1748,9342,4572,4770,,4847,1770,784,986,3077,2240,837,,499896,49937,22618,27319,449959,232285,217674,,390162,24433,110950,143496,69809,30947,5993,4534,,198279,13303,62273,68970,32765,14351,3753,2864,,191883,11130,48677,74526,37044,16596,2240,1670,,284934,104764,48986,53261,3493,38321,36109,13074,23035,,230653,11557,8523,8672,8879,10047,10116,8775,8630,8289,18169,23853,33153,25943,16190,16818,13039,,576641,295204,17712,19577,20150,11865,27621,39712,38660,33686,39252,30787,12406,3776,281437,16550,18237,19632,10744,24391,36024,36189,31532,38567,29710,13834,6027,,563382,60482,27427,33055,502900,259944,242956,,576641,511179,5242,12987,5046,433,13317,28437,,163400,155502,7898,,133998,129432,4566
TOTAL (All Selected States),,59641890,10560320,4756123,5804197,49081570,25257717,23823853,,191671590,17668529,7837702,9830827,174003061,87061147,86941914,,22553349,3358317,1532288,1826029,19195032,9700853,9494179,,18044712,3440072,1561482,1878590,14604640,7643077,6961563,,597433,99627,46230,53397,497806,252815,244991,,18441726,1900825,880175,1020650,16540901,7938105,8602796,,2630250,615351,287939,327412,2014899,1013739,1001160,,39745907,8630739,3785225,4845514,31115168,14944001,16171167,,219884326,22616705,10038936,12577769,197267621,98917929,98349692,,225152317,25050356,59636386,64656741,46354331,21041939,5012868,3399696,,109715423,13014399,30403580,30335401,22074780,9158080,2798716,1930467,,115436894,12035957,29232806,34321340,24279551,11883859,2214152,1469229,,157510982,63469480,26826595,32862044,975220,12744051,20633592,8698901,11934691,,124010992,6835028,4848344,4672903,4947418,5044233,5096729,4799326,4968184,4395258,8982113,11863218,15895589,11904114,8333858,9694986,11729691,,329725481,163206615,9940776,10353792,11101231,6595645,15499748,22957304,21329742,20746601,20919356,14887011,6597798,2277611,166518866,9482345,9893346,10572886,6294054,14839341,22403638,21112141,20884857,21910057,16703608,8400416,4022177,,321897703,40661636,18132275,22529361,281236067,140410519,140825548,,329725481,224789109,41393012,2722661,18782924,615557,18382796,23039422,,87786541,82900641,4885900,,79476756,75115489,4361267
