age,sex,state,value
M_85YearsandOver,M,Wyoming,3776
F_Under5Years,F,Alabama,144276
F_5to9Years,F,Alabama,146733
F_10to14Years,F,Alabama,162158
F_15to17Years,F,Alabama,95167
F_18to24Years,F,Alabama,230513
F_25to34Years,F,Alabama,328098
F_35to44Years,F,Alabama,315771
F_45to54Years,F,Alabama,323966
F_55to64Years,F,Alabama,349002
F_65to74Years,F,Alabama,273827
F_75to84Years,F,Alabama,142272
F_85YearsandOver,F,Alabama,56189
F_Under5Years,F,Alaska,24826
F_5to9Years,F,Alaska,25891
F_10to14Years,F,Alaska,24162
F_15to17Years,F,Alaska,14049
F_18to24Years,F,Alaska,29856
F_25to34Years,F,Alaska,54963
F_35to44Years,F,Alaska,46314
F_45to54Years,F,Alaska,41278
F_55to64Years,F,Alaska,44702
F_65to74Years,F,Alaska,29621
F_75to84Years,F,Alaska,11713
F_85YearsandOver,F,Alaska,3827
F_Under5Years,F,Arizona,201999
F_5to9Years,F,Arizona,215310
F_10to14Years,F,Arizona,235194
F_15to17Years,F,Arizona,137529
F_18to24Years,F,Arizona,325423
F_25to34Years,F,Arizona,467102
F_35to44Years,F,Arizona,432664
F_45to54Years,F,Arizona,419087
F_55to64Years,F,Arizona,444079
F_65to74Years,F,Arizona,387296
F_75to84Years,F,Arizona,200147
F_85YearsandOver,F,Arizona,79478
F_Under5Years,F,Arkansas,89170
F_5to9Years,F,Arkansas,95925
F_10to14Years,F,Arkansas,98171
F_15to17Years,F,Arkansas,59874
F_18to24Years,F,Arkansas,136426
F_25to34Years,F,Arkansas,194163
F_35to44Years,F,Arkansas,188700
F_45to54Years,F,Arkansas,183520
F_55to64Years,F,Arkansas,198204
F_65to74Years,F,Arkansas,159216
F_75to84Years,F,Arkansas,83939
F_85YearsandOver,F,Arkansas,35481
F_Under5Years,F,California,1146476
F_5to9Years,F,California,1188179
F_10to14Years,F,California,1296261
F_15to17Years,F,California,757006
F_18to24Years,F,California,1785983
F_25to34Years,F,California,2885487
F_35to44Years,F,California,2620387
F_45to54Years,F,California,2506218
F_55to64Years,F,California,2434959
F_65to74Years,F,California,1782400
F_75to84Years,F,California,885135
F_85YearsandOver,F,California,452818
F_Under5Years,F,Colorado,158279
F_5to9Years,F,Colorado,170826
F_10to14Years,F,Colorado,178712
F_15to17Years,F,Colorado,107666
F_18to24Years,F,Colorado,250233
F_25to34Years,F,Colorado,425915
F_35to44Years,F,Colorado,387976
F_45to54Years,F,Colorado,347705
F_55to64Years,F,Colorado,359938
F_65to74Years,F,Colorado,268788
F_75to84Years,F,Colorado,116980
F_85YearsandOver,F,Colorado,54222
F_Under5Years,F,Connecticut,88388
F_5to9Years,F,Connecticut,97298
F_10to14Years,F,Connecticut,108901
F_15to17Years,F,Connecticut,68990
F_18to24Years,F,Connecticut,168939
F_25to34Years,F,Connecticut,219467
F_35to44Years,F,Connecticut,221766
F_45to54Years,F,Connecticut,249462
F_55to64Years,F,Connecticut,266983
F_65to74Years,F,Connecticut,189547
F_75to84Years,F,Connecticut,98023
F_85YearsandOver,F,Connecticut,58706
F_Under5Years,F,Delaware,26667
F_5to9Years,F,Delaware,27835
F_10to14Years,F,Delaware,29842
F_15to17Years,F,Delaware,17790
F_18to24Years,F,Delaware,41449
F_25to34Years,F,Delaware,64069
F_35to44Years,F,Delaware,58757
F_45to54Years,F,Delaware,62606
F_55to64Years,F,Delaware,73289
F_65to74Years,F,Delaware,61044
F_75to84Years,F,Delaware,29795
F_85YearsandOver,F,Delaware,11530
F_Under5Years,F,DistrictofColumbia,21068
F_5to9Years,F,DistrictofColumbia,17734
F_10to14Years,F,DistrictofColumbia,15149
F_15to17Years,F,DistrictofColumbia,7798
F_18to24Years,F,DistrictofColumbia,38651
F_25to34Years,F,DistrictofColumbia,82770
F_35to44Years,F,DistrictofColumbia,54067
F_45to54Years,F,DistrictofColumbia,36364
F_55to64Years,F,DistrictofColumbia,35382
F_65to74Years,F,DistrictofColumbia,27553
F_75to84Years,F,DistrictofColumbia,14617
F_85YearsandOver,F,DistrictofColumbia,6511
F_Under5Years,F,Florida,547351
F_5to9Years,F,Florida,564146
F_10to14Years,F,Florida,608112
F_15to17Years,F,Florida,363328
F_18to24Years,F,Florida,847487
F_25to34Years,F,Florida,1352337
F_35to44Years,F,Florida,1311562
F_45to54Years,F,Florida,1379530
F_55to64Years,F,Florida,1506298
F_65to74Years,F,Florida,1304876
F_75to84Years,F,Florida,737603
F_85YearsandOver,F,Florida,327584
F_Under5Years,F,Georgia,314626
F_5to9Years,F,Georgia,335684
F_10to14Years,F,Georgia,369232
F_15to17Years,F,Georgia,219670
F_18to24Years,F,Georgia,498805
F_25to34Years,F,Georgia,740657
F_35to44Years,F,Georgia,722751
F_45to54Years,F,Georgia,720678
F_55to64Years,F,Georgia,683040
F_65to74Years,F,Georgia,500530
F_75to84Years,F,Georgia,233171
F_85YearsandOver,F,Georgia,95155
F_Under5Years,F,Hawaii,42240
F_5to9Years,F,Hawaii,42166
F_10to14Years,F,Hawaii,42674
F_15to17Years,F,Hawaii,23540
F_18to24Years,F,Hawaii,55365
F_25to34Years,F,Hawaii,97249
F_35to44Years,F,Hawaii,92182
F_45to54Years,F,Hawaii,86904
F_55to64Years,F,Hawaii,93403
F_65to74Years,F,Hawaii,79928
F_75to84Years,F,Hawaii,40383
F_85YearsandOver,F,Hawaii,25292
F_Under5Years,F,Idaho,56355
F_5to9Years,F,Idaho,61224
F_10to14Years,F,Idaho,66826
F_15to17Years,F,Idaho,39298
F_18to24Years,F,Idaho,80660
F_25to34Years,F,Idaho,115613
F_35to44Years,F,Idaho,114768
F_45to54Years,F,Idaho,101830
F_55to64Years,F,Idaho,112344
F_65to74Years,F,Idaho,90572
F_75to84Years,F,Idaho,41927
F_85YearsandOver,F,Idaho,17671
F_Under5Years,F,Illinois,364468
F_5to9Years,F,Illinois,383394
F_10to14Years,F,Illinois,413063
F_15to17Years,F,Illinois,251226
F_18to24Years,F,Illinois,574710
F_25to34Years,F,Illinois,868914
F_35to44Years,F,Illinois,832953
F_45to54Years,F,Illinois,821198
F_55to64Years,F,Illinois,857195
F_65to74Years,F,Illinois,630669
F_75to84Years,F,Illinois,323653
F_85YearsandOver,F,Illinois,168194
F_Under5Years,F,Indiana,202506
F_5to9Years,F,Indiana,213179
F_10to14Years,F,Indiana,225170
F_15to17Years,F,Indiana,135816
F_18to24Years,F,Indiana,321480
F_25to34Years,F,Indiana,437003
F_35to44Years,F,Indiana,420081
F_45to54Years,F,Indiana,418213
F_55to64Years,F,Indiana,448478
F_65to74Years,F,Indiana,335267
F_75to84Years,F,Indiana,166340
F_85YearsandOver,F,Indiana,83447
F_Under5Years,F,Iowa,95263
F_5to9Years,F,Iowa,99107
F_10to14Years,F,Iowa,106302
F_15to17Years,F,Iowa,61946
F_18to24Years,F,Iowa,153746
F_25to34Years,F,Iowa,193335
F_35to44Years,F,Iowa,190776
F_45to54Years,F,Iowa,183192
F_55to64Years,F,Iowa,210338
F_65to74Years,F,Iowa,160760
F_75to84Years,F,Iowa,86783
F_85YearsandOver,F,Iowa,47541
F_Under5Years,F,Kansas,90089
F_5to9Years,F,Kansas,98651
F_10to14Years,F,Kansas,99835
F_15to17Years,F,Kansas,59029
F_18to24Years,F,Kansas,141751
F_25to34Years,F,Kansas,184148
F_35to44Years,F,Kansas,179951
F_45to54Years,F,Kansas,166457
F_55to64Years,F,Kansas,190520
F_65to74Years,F,Kansas,141352
F_75to84Years,F,Kansas,72067
F_85YearsandOver,F,Kansas,40097
F_Under5Years,F,Kentucky,131639
F_5to9Years,F,Kentucky,134664
F_10to14Years,F,Kentucky,146208
F_15to17Years,F,Kentucky,84707
F_18to24Years,F,Kentucky,203552
F_25to34Years,F,Kentucky,287128
F_35to44Years,F,Kentucky,279778
F_45to54Years,F,Kentucky,286676
F_55to64Years,F,Kentucky,309886
F_65to74Years,F,Kentucky,237606
F_75to84Years,F,Kentucky,119685
F_85YearsandOver,F,Kentucky,48829
F_Under5Years,F,Louisiana,145968
F_5to9Years,F,Louisiana,147702
F_10to14Years,F,Louisiana,155675
F_15to17Years,F,Louisiana,89610
F_18to24Years,F,Louisiana,207295
F_25to34Years,F,Louisiana,325281
F_35to44Years,F,Louisiana,302520
F_45to54Years,F,Louisiana,283509
F_55to64Years,F,Louisiana,314197
F_65to74Years,F,Louisiana,236480
F_75to84Years,F,Louisiana,115243
F_85YearsandOver,F,Louisiana,50264
F_Under5Years,F,Maine,31033
F_5to9Years,F,Maine,33921
F_10to14Years,F,Maine,35708
F_15to17Years,F,Maine,22913
F_18to24Years,F,Maine,52569
F_25to34Years,F,Maine,80921
F_35to44Years,F,Maine,79853
F_45to54Years,F,Maine,90204
F_55to64Years,F,Maine,109986
F_65to74Years,F,Maine,88670
F_75to84Years,F,Maine,42366
F_85YearsandOver,F,Maine,20594
F_Under5Years,F,Maryland,178187
F_5to9Years,F,Maryland,185444
F_10to14Years,F,Maryland,192426
F_15to17Years,F,Maryland,115580
F_18to24Years,F,Maryland,263663
F_25to34Years,F,Maryland,417624
F_35to44Years,F,Maryland,410034
F_45to54Years,F,Maryland,421672
F_55to64Years,F,Maryland,433923
F_65to74Years,F,Maryland,308315
F_75to84Years,F,Maryland,152385
F_85YearsandOver,F,Maryland,74146
F_Under5Years,F,Massachusetts,174546
F_5to9Years,F,Massachusetts,182121
F_10to14Years,F,Massachusetts,197419
F_15to17Years,F,Massachusetts,124120
F_18to24Years,F,Massachusetts,353284
F_25to34Years,F,Massachusetts,494669
F_35to44Years,F,Massachusetts,440996
F_45to54Years,F,Massachusetts,468840
F_55to64Years,F,Massachusetts,494471
F_65to74Years,F,Massachusetts,364247
F_75to84Years,F,Massachusetts,179444
F_85YearsandOver,F,Massachusetts,104521
F_Under5Years,F,Michigan,275955
F_5to9Years,F,Michigan,288805
F_10to14Years,F,Michigan,309219
F_15to17Years,F,Michigan,192111
F_18to24Years,F,Michigan,466189
F_25to34Years,F,Michigan,640235
F_35to44Years,F,Michigan,595069
F_45to54Years,F,Michigan,643527
F_55to64Years,F,Michigan,719772
F_65to74Years,F,Michigan,547999
F_75to84Years,F,Michigan,266360
F_85YearsandOver,F,Michigan,133946
F_Under5Years,F,Minnesota,170331
F_5to9Years,F,Minnesota,179033
F_10to14Years,F,Minnesota,187238
F_15to17Years,F,Minnesota,110156
F_18to24Years,F,Minnesota,245995
F_25to34Years,F,Minnesota,370288
F_35to44Years,F,Minnesota,361112
F_45to54Years,F,Minnesota,339102
F_55to64Years,F,Minnesota,381072
F_65to74Years,F,Minnesota,275175
F_75to84Years,F,Minnesota,138605
F_85YearsandOver,F,Minnesota,73230
F_Under5Years,F,Mississippi,88560
F_5to9Years,F,Mississippi,94546
F_10to14Years,F,Mississippi,102156
F_15to17Years,F,Mississippi,59917
F_18to24Years,F,Mississippi,141196
F_25to34Years,F,Mississippi,192844
F_35to44Years,F,Mississippi,190763
F_45to54Years,F,Mississippi,187899
F_55to64Years,F,Mississippi,200318
F_65to74Years,F,Mississippi,153935
F_75to84Years,F,Mississippi,78431
F_85YearsandOver,F,Mississippi,32203
F_Under5Years,F,Missouri,179003
F_5to9Years,F,Missouri,183572
F_10to14Years,F,Missouri,198719
F_15to17Years,F,Missouri,117561
F_18to24Years,F,Missouri,275037
F_25to34Years,F,Missouri,407488
F_35to44Years,F,Missouri,380073
F_45to54Years,F,Missouri,374543
F_55to64Years,F,Missouri,425519
F_65to74Years,F,Missouri,324210
F_75to84Years,F,Missouri,169217
F_85YearsandOver,F,Missouri,78851
F_Under5Years,F,Montana,29140
F_5to9Years,F,Montana,31527
F_10to14Years,F,Montana,32575
F_15to17Years,F,Montana,19472
F_18to24Years,F,Montana,46345
F_25to34Years,F,Montana,67748
F_35to44Years,F,Montana,64583
F_45to54Years,F,Montana,59516
F_55to64Years,F,Montana,76848
F_65to74Years,F,Montana,62660
F_75to84Years,F,Montana,29182
F_85YearsandOver,F,Montana,12711
F_Under5Years,F,Nebraska,63563
F_5to9Years,F,Nebraska,65190
F_10to14Years,F,Nebraska,67848
F_15to17Years,F,Nebraska,39292
F_18to24Years,F,Nebraska,93432
F_25to34Years,F,Nebraska,124874
F_35to44Years,F,Nebraska,120806
F_45to54Years,F,Nebraska,108169
F_55to64Years,F,Nebraska,122731
F_65to74Years,F,Nebraska,93193
F_75to84Years,F,Nebraska,46589
F_85YearsandOver,F,Nebraska,26930
F_Under5Years,F,Nevada,88791
F_5to9Years,F,Nevada,92791
F_10to14Years,F,Nevada,100108
F_15to17Years,F,Nevada,57370
F_18to24Years,F,Nevada,120709
F_25to34Years,F,Nevada,217477
F_35to44Years,F,Nevada,202487
F_45to54Years,F,Nevada,193702
F_55to64Years,F,Nevada,190546
F_65to74Years,F,Nevada,156269
F_75to84Years,F,Nevada,71380
F_85YearsandOver,F,Nevada,25819
F_Under5Years,F,NewHampshire,31214
F_5to9Years,F,NewHampshire,32468
F_10to14Years,F,NewHampshire,39337
F_15to17Years,F,NewHampshire,24095
F_18to24Years,F,NewHampshire,61518
F_25to34Years,F,NewHampshire,82968
F_35to44Years,F,NewHampshire,79577
F_45to54Years,F,NewHampshire,93706
F_55to64Years,F,NewHampshire,109087
F_65to74Years,F,NewHampshire,79052
F_75to84Years,F,NewHampshire,37432
F_85YearsandOver,F,NewHampshire,17875
F_Under5Years,F,NewJersey,258730
F_5to9Years,F,NewJersey,270750
F_10to14Years,F,NewJersey,290610
F_15to17Years,F,NewJersey,176740
F_18to24Years,F,NewJersey,382620
F_25to34Years,F,NewJersey,582308
F_35to44Years,F,NewJersey,598294
F_45to54Years,F,NewJersey,640890
F_55to64Years,F,NewJersey,652356
F_65to74Years,F,NewJersey,463869
F_75to84Years,F,NewJersey,246504
F_85YearsandOver,F,NewJersey,131042
F_Under5Years,F,NewMexico,59138
F_5to9Years,F,NewMexico,64912
F_10to14Years,F,NewMexico,72068
F_15to17Years,F,NewMexico,41845
F_18to24Years,F,NewMexico,95355
F_25to34Years,F,NewMexico,135745
F_35to44Years,F,NewMexico,128797
F_45to54Years,F,NewMexico,121435
F_55to64Years,F,NewMexico,142280
F_65to74Years,F,NewMexico,118105
F_75to84Years,F,NewMexico,55735
F_85YearsandOver,F,NewMexico,25503
F_Under5Years,F,NewYork,564209
F_5to9Years,F,NewYork,553646
F_10to14Years,F,NewYork,586601
F_15to17Years,F,NewYork,353650
F_18to24Years,F,NewYork,905794
F_25to34Years,F,NewYork,1455137
F_35to44Years,F,NewYork,1280662
F_45to54Years,F,NewYork,1321767
F_55to64Years,F,NewYork,1393196
F_65to74Years,F,NewYork,1034154
F_75to84Years,F,NewYork,548526
F_85YearsandOver,F,NewYork,295692
F_Under5Years,F,NorthCarolina,289115
F_5to9Years,F,NorthCarolina,308334
F_10to14Years,F,NorthCarolina,329006
F_15to17Years,F,NorthCarolina,199221
F_18to24Years,F,NorthCarolina,475379
F_25to34Years,F,NorthCarolina,695259
F_35to44Years,F,NorthCarolina,668015
F_45to54Years,F,NorthCarolina,692480
F_55to64Years,F,NorthCarolina,702480
F_65to74Years,F,NorthCarolina,553464
F_75to84Years,F,NorthCarolina,268601
F_85YearsandOver,F,NorthCarolina,118002
F_Under5Years,F,NorthDakota,25805
F_5to9Years,F,NorthDakota,25531
F_10to14Years,F,NorthDakota,24432
F_15to17Years,F,NorthDakota,14047
F_18to24Years,F,NorthDakota,40189
F_25to34Years,F,NorthDakota,52846
F_35to44Years,F,NorthDakota,44343
F_45to54Years,F,NorthDakota,39041
F_55to64Years,F,NorthDakota,46698
F_65to74Years,F,NorthDakota,33768
F_75to84Years,F,NorthDakota,18900
F_85YearsandOver,F,NorthDakota,10651
F_Under5Years,F,Ohio,337131
F_5to9Years,F,Ohio,346303
F_10to14Years,F,Ohio,374155
F_15to17Years,F,Ohio,226311
F_18to24Years,F,Ohio,522615
F_25to34Years,F,Ohio,766804
F_35to44Years,F,Ohio,714127
F_45to54Years,F,Ohio,741114
F_55to64Years,F,Ohio,828124
F_65to74Years,F,Ohio,632006
F_75to84Years,F,Ohio,322440
F_85YearsandOver,F,Ohio,158789
F_Under5Years,F,Oklahoma,123410
F_5to9Years,F,Oklahoma,130675
F_10to14Years,F,Oklahoma,136325
F_15to17Years,F,Oklahoma,79191
F_18to24Years,F,Oklahoma,182415
F_25to34Years,F,Oklahoma,264085
F_35to44Years,F,Oklahoma,248358
F_45to54Years,F,Oklahoma,228277
F_55to64Years,F,Oklahoma,251951
F_65to74Years,F,Oklahoma,193816
F_75to84Years,F,Oklahoma,101377
F_85YearsandOver,F,Oklahoma,43329
F_Under5Years,F,Oregon,108729
F_5to9Years,F,Oregon,117183
F_10to14Years,F,Oregon,125449
F_15to17Years,F,Oregon,73689
F_18to24Years,F,Oregon,177675
F_25to34Years,F,Oregon,292074
F_35to44Years,F,Oregon,283177
F_45to54Years,F,Oregon,254881
F_55to64Years,F,Oregon,278053
F_65to74Years,F,Oregon,241273
F_75to84Years,F,Oregon,108052
F_85YearsandOver,F,Oregon,50513
F_Under5Years,F,Pennsylvania,341885
F_5to9Years,F,Pennsylvania,360844
F_10to14Years,F,Pennsylvania,381917
F_15to17Years,F,Pennsylvania,233921
F_18to24Years,F,Pennsylvania,570151
F_25to34Years,F,Pennsylvania,837065
F_35to44Years,F,Pennsylvania,774036
F_45to54Years,F,Pennsylvania,825896
F_55to64Years,F,Pennsylvania,936815
F_65to74Years,F,Pennsylvania,723262
F_75to84Years,F,Pennsylvania,380943
F_85YearsandOver,F,Pennsylvania,209698
F_Under5Years,F,RhodeIsland,27134
F_5to9Years,F,RhodeIsland,28605
F_10to14Years,F,RhodeIsland,29268
F_15to17Years,F,RhodeIsland,18722
F_18to24Years,F,RhodeIsland,57056
F_25to34Years,F,RhodeIsland,74208
F_35to44Years,F,RhodeIsland,65182
F_45to54Years,F,RhodeIsland,71828
F_55to64Years,F,RhodeIsland,80046
F_65to74Years,F,RhodeIsland,58004
F_75to84Years,F,RhodeIsland,31057
F_85YearsandOver,F,RhodeIsland,16556
F_Under5Years,F,SouthCarolina,139164
F_5to9Years,F,SouthCarolina,151791
F_10to14Years,F,SouthCarolina,158207
F_15to17Years,F,SouthCarolina,94004
F_18to24Years,F,SouthCarolina,223735
F_25to34Years,F,SouthCarolina,336392
F_35to44Years,F,SouthCarolina,318240
F_45to54Years,F,SouthCarolina,327681
F_55to64Years,F,SouthCarolina,359055
F_65to74Years,F,SouthCarolina,300550
F_75to84Years,F,SouthCarolina,141027
F_85YearsandOver,F,SouthCarolina,54998
F_Under5Years,F,SouthDakota,29297
F_5to9Years,F,SouthDakota,30911
F_10to14Years,F,SouthDakota,29840
F_15to17Years,F,SouthDakota,17008
F_18to24Years,F,SouthDakota,40139
F_25to34Years,F,SouthDakota,53958
F_35to44Years,F,SouthDakota,51507
F_45to54Years,F,SouthDakota,46771
F_55to64Years,F,SouthDakota,58045
F_65to74Years,F,SouthDakota,44040
F_75to84Years,F,SouthDakota,21582
F_85YearsandOver,F,SouthDakota,12226
F_Under5Years,F,Tennessee,198246
F_5to9Years,F,Tennessee,201896
F_10to14Years,F,Tennessee,219898
F_15to17Years,F,Tennessee,129605
F_18to24Years,F,Tennessee,304781
F_25to34Years,F,Tennessee,472712
F_35to44Years,F,Tennessee,435260
F_45to54Years,F,Tennessee,447380
F_55to64Years,F,Tennessee,469031
F_65to74Years,F,Tennessee,362893
F_75to84Years,F,Tennessee,183042
F_85YearsandOver,F,Tennessee,72654
F_Under5Years,F,Texas,958490
F_5to9Years,F,Texas,998344
F_10to14Years,F,Texas,1065663
F_15to17Years,F,Texas,620620
F_18to24Years,F,Texas,1360060
F_25to34Years,F,Texas,2059727
F_35to44Years,F,Texas,1967990
F_45to54Years,F,Texas,1785594
F_55to64Years,F,Texas,1660442
F_65to74Years,F,Texas,1181847
F_75to84Years,F,Texas,561956
F_85YearsandOver,F,Texas,243677
F_Under5Years,F,Utah,119820
F_5to9Years,F,Utah,129864
F_10to14Years,F,Utah,131992
F_15to17Years,F,Utah,78253
F_18to24Years,F,Utah,178255
F_25to34Years,F,Utah,230615
F_35to44Years,F,Utah,219284
F_45to54Years,F,Utah,164933
F_55to64Years,F,Utah,154653
F_65to74Years,F,Utah,113878
F_75to84Years,F,Utah,54996
F_85YearsandOver,F,Utah,20984
F_Under5Years,F,Vermont,14049
F_5to9Years,F,Vermont,15342
F_10to14Years,F,Vermont,16997
F_15to17Years,F,Vermont,10694
F_18to24Years,F,Vermont,33099
F_25to34Years,F,Vermont,37288
F_35to44Years,F,Vermont,37734
F_45to54Years,F,Vermont,40981
F_55to64Years,F,Vermont,49943
F_65to74Years,F,Vermont,39667
F_75to84Years,F,Vermont,18545
F_85YearsandOver,F,Vermont,8765
F_Under5Years,F,Virginia,244760
F_5to9Years,F,Virginia,252006
F_10to14Years,F,Virginia,266690
F_15to17Years,F,Virginia,158801
F_18to24Years,F,Virginia,391258
F_25to34Years,F,Virginia,581961
F_35to44Years,F,Virginia,567392
F_45to54Years,F,Virginia,564357
F_55to64Years,F,Virginia,575765
F_65to74Years,F,Virginia,427110
F_75to84Years,F,Virginia,215887
F_85YearsandOver,F,Virginia,91211
F_Under5Years,F,Washington,218811
F_5to9Years,F,Washington,230501
F_10to14Years,F,Washington,233793
F_15to17Years,F,Washington,136471
F_18to24Years,F,Washington,316423
F_25to34Years,F,Washington,555320
F_35to44Years,F,Washington,509190
F_45to54Years,F,Washington,462317
F_55to64Years,F,Washington,487330
F_65to74Years,F,Washington,382040
F_75to84Years,F,Washington,171014
F_85YearsandOver,F,Washington,82190
F_Under5Years,F,WestVirginia,45161
F_5to9Years,F,WestVirginia,49064
F_10to14Years,F,WestVirginia,51980
F_15to17Years,F,WestVirginia,31535
F_18to24Years,F,WestVirginia,75042
F_25to34Years,F,WestVirginia,103404
F_35to44Years,F,WestVirginia,107524
F_45to54Years,F,WestVirginia,115369
F_55to64Years,F,WestVirginia,131182
F_65to74Years,F,WestVirginia,112762
F_75to84Years,F,WestVirginia,55554
F_85YearsandOver,F,WestVirginia,25749
F_Under5Years,F,Wisconsin,160734
F_5to9Years,F,Wisconsin,173541
F_10to14Years,F,Wisconsin,183963
F_15to17Years,F,Wisconsin,112356
F_18to24Years,F,Wisconsin,270648
F_25to34Years,F,Wisconsin,359871
F_35to44Years,F,Wisconsin,357763
F_45to54Years,F,Wisconsin,361060
F_55to64Years,F,Wisconsin,417535
F_65to74Years,F,Wisconsin,306333
F_75to84Years,F,Wisconsin,149977
F_85YearsandOver,F,Wisconsin,80259
F_Under5Years,F,Wyoming,16550
F_5to9Years,F,Wyoming,18237
F_10to14Years,F,Wyoming,19632
F_15to17Years,F,Wyoming,10744
F_18to24Years,F,Wyoming,24391
F_25to34Years,F,Wyoming,36024
F_35to44Years,F,Wyoming,36189
F_45to54Years,F,Wyoming,31532
F_55to64Years,F,Wyoming,38567
F_65to74Years,F,Wyoming,29710
F_75to84Years,F,Wyoming,13834
F_85YearsandOver,F,Wyoming,6027
