Statistics,TotalEmpStat_Pop16YearsandOver,TotalEmpStat_InLaborForce,TotalEmpStat_InArmedForces,TotalEmpStat_Civilian,TotalEmpStat_Employed,TotalEmpStat_Unemployed,TotalEmpStat_NotinLaborForce,MaleEmpStat_Pop16YearsandOver,MaleEmpStat_InLaborForce,MaleEmpStat_InArmedForces,MaleEmpStat_Civilian,MaleEmpStat_Employed,MaleEmpStat_Unemployed,MaleEmpStat_NotinLaborForce,FemEmpStat_Pop16YearsandOver,FemEmpStat_InLaborForce,FemEmpStat_InArmedForces,FemEmpStat_Civilian,FemEmpStat_Employed,FemEmpStat_Unemployed,FemEmpStat_NotinLaborForce,TotalEmpSec_EmployedCivilianPop16YearsandOver,TotalEmpSec_PrivateSector,TotalEmpSec_PublicSector,TotalEmpSec_SelfEmployed,TotalEmpSec_PrivateNonProfit,TotalEmpSec_UnpaidFamilyWorkers,MaleEmpSec_EmployedCivilianPop16YearsandOver,MaleEmpSec_PrivateSector,MaleEmpSec_PublicSector,MaleEmpSec_SelfEmployed,MaleEmpSec_PrivateNonProfit,MaleEmpSec_UnpaidFamilyWorkers,FemEmpSec_EmployedCivilianPop16YearsandOver,FemEmpSec_PrivateSector,FemEmpSec_PublicSector,FemEmpSec_SelfEmployed,FemEmpSec_PrivateNonProfit,FemEmpSec_UnpaidFamilyWorkers,Total_EmpCivPop16andup,Total_ManagementBusinessandFinancialOperations,Total_ProfessionalandRelated,Total_HealthcareSupport ,Total_ProtectiveService,Total_FoodPrepandServing,Total_BuildingandGroundsCleaningandMaintenance  ,Total_PersonalCareandService,Total_SalesandRelated,Total_OfficeandAdminSupport,Total_FarmingFishingandForestry,Total_ConstructionExtractionandMaintenance,Total_Production,Total_TranspoandMaterialMoving,MaleEmpCivPop16andup,Male_ManagementBusinessandFinancialOperations,Male_ProfessionalandRelated,Male_HealthcareSupport ,Male_ProtectiveService,Male_FoodPrepandServing,Male_BuildingandGroundsCleaningandMaintenance  ,Male_PersonalCareandService,Male_SalesandRelated,Male_OfficeandAdminSupport,Male_FarmingFishingandForestry,Male_ConstructionExtractionandMaintenance,Male_Production,Male_TranspoandMaterialMoving,FemEmpCivPop16andup,Fem_ManagementBusinessandFinancialOperations,Fem_ProfessionalandRelated,Fem_HealthcareSupport ,Fem_ProtectiveService,Fem_FoodPrepandServing,Fem_BuildingandGroundsCleaningandMaintenance  ,Fem_PersonalCareandService,Fem_SalesandRelated,Fem_OfficeandAdminSupport,Fem_FarmingFishingandForestry,Fem_ConstructionExtractionandMaintenance,Fem_Production,Fem_TranspoandMaterialMoving,M_F_ManagementBusinessandFinancialOperations,M_F_ProfessionalandRelated,M_F_HealthcareSupport ,M_F_ProtectiveService,M_F_FoodPrepandServing,M_F_BuildingandGroundsCleaningandMaintenance  ,M_F_PersonalCareandService,M_F_SalesandRelated,M_F_OfficeandAdminSupport,M_F_FarmingFishingandForestry,M_F_ConstructionExtractionandMaintenance,M_F_Production,M_F_TranspoandMaterialMoving
Michigan,,0.616,0.001,0.615,0.577,0.038,0.385,,0.659,0.001,0.658,0.615,0.043,0.341,,0.574,0,0.574,0.54,0.034,0.426,,0.711,0.108,0.084,0.095,0.002,,0.752,0.086,0.102,0.058,0.002,,0.666,0.132,0.064,0.136,0.002,,0.151,0.232,0.036,0.017,0.057,0.035,0.024,0.093,0.11,0.005,0.074,0.09,0.077,,0.156,0.196,0.009,0.025,0.046,0.041,0.01,0.088,0.049,0.007,0.136,0.123,0.115,,0.146,0.271,0.065,0.008,0.07,0.029,0.04,0.098,0.178,0.003,0.006,0.053,0.035,M,F,F,M,F,M,F,F,F,M,M,M,M
Minnesota,,0.692,0.001,0.691,0.663,0.028,0.308,,0.727,0.002,0.726,0.694,0.032,0.273,,0.656,0,0.656,0.632,0.024,0.344,,0.667,0.124,0.092,0.116,0.002,,0.715,0.099,0.112,0.072,0.002,,0.616,0.15,0.069,0.164,0.001,,0.178,0.252,0.038,0.013,0.049,0.031,0.025,0.093,0.105,0.007,0.073,0.068,0.068,,0.186,0.201,0.012,0.02,0.039,0.038,0.01,0.097,0.055,0.01,0.135,0.093,0.106,,0.17,0.308,0.065,0.006,0.059,0.024,0.042,0.089,0.16,0.003,0.005,0.04,0.028,M,F,F,M,F,M,F,M,F,M,M,M,M
Mississippi,,0.574,0.006,0.568,0.529,0.039,0.426,,0.609,0.01,0.6,0.56,0.04,0.391,,0.541,0.002,0.539,0.501,0.038,0.459,,0.67,0.183,0.087,0.057,0.003,,0.705,0.142,0.113,0.038,0.003,,0.633,0.226,0.061,0.077,0.003,,0.121,0.219,0.03,0.024,0.056,0.038,0.025,0.099,0.108,0.007,0.095,0.084,0.096,,0.126,0.144,0.005,0.037,0.043,0.043,0.012,0.086,0.043,0.011,0.181,0.112,0.156,,0.115,0.295,0.056,0.011,0.069,0.032,0.038,0.112,0.175,0.002,0.006,0.054,0.034,M,F,F,M,F,M,F,F,F,M,M,M,M
Missouri,,0.632,0.004,0.628,0.6,0.028,0.368,,0.673,0.006,0.667,0.636,0.031,0.327,,0.593,0.002,0.591,0.566,0.026,0.407,,0.683,0.125,0.088,0.102,0.002,,0.722,0.105,0.107,0.063,0.002,,0.642,0.146,0.067,0.144,0.002,,0.157,0.231,0.033,0.019,0.054,0.033,0.025,0.098,0.116,0.005,0.081,0.066,0.081,,0.162,0.177,0.008,0.029,0.046,0.04,0.011,0.098,0.053,0.008,0.152,0.093,0.124,,0.153,0.289,0.059,0.009,0.063,0.025,0.04,0.099,0.184,0.002,0.006,0.038,0.036,M,F,F,M,F,M,F,F,F,M,M,M,M
Montana,,0.633,0.004,0.629,0.604,0.026,0.367,,0.67,0.006,0.664,0.635,0.028,0.33,,0.595,0.001,0.594,0.571,0.023,0.405,,0.582,0.167,0.15,0.098,0.003,,0.616,0.142,0.177,0.062,0.003,,0.543,0.195,0.119,0.14,0.003,,0.161,0.221,0.033,0.02,0.066,0.04,0.027,0.098,0.107,0.016,0.103,0.039,0.071,,0.171,0.17,0.011,0.029,0.052,0.044,0.012,0.095,0.043,0.025,0.184,0.056,0.11,,0.15,0.278,0.058,0.011,0.081,0.035,0.043,0.101,0.179,0.007,0.01,0.02,0.027,M,F,F,M,F,M,F,F,F,M,M,M,M
Nebraska,,0.693,0.004,0.689,0.666,0.023,0.307,,0.738,0.007,0.731,0.707,0.024,0.262,,0.648,0.001,0.647,0.626,0.021,0.352,,0.655,0.143,0.103,0.097,0.002,,0.695,0.118,0.127,0.058,0.003,,0.61,0.171,0.077,0.141,0.002,,0.165,0.227,0.031,0.016,0.051,0.031,0.029,0.092,0.116,0.013,0.085,0.07,0.074,,0.184,0.17,0.007,0.024,0.04,0.036,0.009,0.091,0.054,0.021,0.157,0.092,0.116,,0.143,0.292,0.058,0.008,0.064,0.026,0.051,0.092,0.185,0.004,0.005,0.045,0.026,M,F,F,M,F,M,F,F,F,M,M,M,M
Nevada,,0.634,0.004,0.63,0.585,0.045,0.366,,0.682,0.007,0.675,0.628,0.048,0.318,,0.586,0.002,0.584,0.542,0.042,0.414,,0.747,0.124,0.089,0.038,0.002,,0.769,0.103,0.099,0.027,0.002,,0.72,0.149,0.079,0.051,0.002,,0.136,0.181,0.024,0.031,0.089,0.053,0.047,0.107,0.118,0.002,0.09,0.038,0.085,,0.135,0.149,0.008,0.045,0.088,0.05,0.036,0.092,0.062,0.003,0.16,0.049,0.124,,0.136,0.218,0.043,0.014,0.091,0.058,0.061,0.124,0.183,0.001,0.008,0.025,0.039,F,F,F,M,F,F,F,F,F,M,M,M,M
New Hampshire,,0.672,0.002,0.67,0.645,0.025,0.328,,0.715,0.004,0.711,0.682,0.029,0.286,,0.631,0.001,0.631,0.609,0.021,0.369,,0.658,0.131,0.094,0.115,0.002,,0.702,0.108,0.117,0.072,0.002,,0.61,0.156,0.069,0.163,0.003,,0.172,0.255,0.029,0.016,0.053,0.031,0.025,0.104,0.106,0.004,0.085,0.062,0.059,,0.174,0.212,0.006,0.026,0.046,0.037,0.01,0.105,0.049,0.005,0.157,0.083,0.089,,0.169,0.301,0.054,0.006,0.062,0.025,0.041,0.103,0.169,0.002,0.005,0.039,0.025,M,F,F,M,F,M,F,M,F,M,M,M,M
New Jersey,,0.66,0.002,0.658,0.617,0.041,0.34,,0.713,0.003,0.711,0.667,0.044,0.287,,0.609,0.001,0.608,0.57,0.038,0.391,,0.701,0.139,0.086,0.072,0.001,,0.726,0.117,0.105,0.05,0.001,,0.673,0.164,0.064,0.097,0.002,,0.189,0.262,0.028,0.024,0.041,0.032,0.028,0.099,0.113,0.002,0.069,0.038,0.077,,0.205,0.214,0.008,0.037,0.038,0.036,0.013,0.1,0.057,0.002,0.127,0.049,0.114,,0.172,0.315,0.051,0.01,0.044,0.027,0.043,0.097,0.175,0.001,0.004,0.026,0.035,M,F,F,M,F,M,F,M,F,M,M,M,M
New Mexico,,0.573,0.007,0.566,0.529,0.038,0.427,,0.613,0.012,0.601,0.56,0.041,0.387,,0.534,0.002,0.532,0.498,0.034,0.466,,0.595,0.227,0.097,0.079,0.002,,0.626,0.202,0.112,0.057,0.002,,0.561,0.255,0.08,0.102,0.002,,0.14,0.246,0.044,0.027,0.058,0.04,0.025,0.096,0.115,0.009,0.098,0.034,0.068,,0.14,0.2,0.016,0.041,0.051,0.045,0.015,0.089,0.053,0.014,0.182,0.049,0.105,,0.14,0.296,0.076,0.012,0.066,0.034,0.037,0.104,0.183,0.003,0.006,0.018,0.026,F,F,F,M,F,M,F,F,F,M,M,M,M
New York,,0.631,0.002,0.629,0.59,0.039,0.369,,0.674,0.003,0.672,0.627,0.044,0.326,,0.59,0,0.589,0.555,0.035,0.41,,0.633,0.16,0.095,0.111,0.002,,0.665,0.14,0.116,0.078,0.002,,0.598,0.181,0.074,0.146,0.002,,0.166,0.269,0.047,0.029,0.049,0.037,0.031,0.093,0.112,0.002,0.067,0.034,0.064,,0.174,0.216,0.014,0.044,0.052,0.045,0.018,0.094,0.061,0.003,0.127,0.047,0.105,,0.157,0.325,0.082,0.014,0.045,0.03,0.045,0.091,0.165,0.001,0.004,0.02,0.021,M,F,F,M,M,M,F,M,F,M,M,M,M
North Carolina,,0.626,0.012,0.614,0.581,0.033,0.374,,0.678,0.023,0.655,0.621,0.035,0.322,,0.578,0.002,0.576,0.545,0.031,0.422,,0.691,0.139,0.095,0.073,0.002,,0.722,0.112,0.115,0.05,0.002,,0.658,0.169,0.075,0.097,0.002,,0.165,0.234,0.029,0.019,0.055,0.036,0.024,0.103,0.103,0.005,0.085,0.068,0.075,,0.172,0.181,0.007,0.028,0.045,0.044,0.011,0.097,0.049,0.008,0.157,0.086,0.115,,0.158,0.29,0.054,0.009,0.065,0.028,0.038,0.109,0.16,0.002,0.008,0.048,0.032,M,F,F,M,F,M,F,F,F,M,M,M,M
North Dakota,,0.698,0.012,0.686,0.664,0.022,0.302,,0.743,0.019,0.724,0.698,0.026,0.257,,0.65,0.005,0.645,0.628,0.017,0.35,,0.614,0.163,0.111,0.108,0.003,,0.655,0.136,0.141,0.065,0.003,,0.567,0.196,0.076,0.158,0.003,,0.168,0.22,0.037,0.016,0.054,0.037,0.031,0.09,0.105,0.016,0.102,0.049,0.077,,0.19,0.148,0.011,0.022,0.043,0.04,0.01,0.091,0.047,0.025,0.184,0.071,0.119,,0.142,0.305,0.067,0.008,0.066,0.033,0.055,0.089,0.173,0.005,0.005,0.024,0.027,M,F,F,M,F,M,F,M,F,M,M,M,M
Ohio,,0.633,0.001,0.632,0.599,0.033,0.367,,0.676,0.002,0.674,0.637,0.037,0.324,,0.592,0.001,0.591,0.562,0.03,0.408,,0.699,0.124,0.078,0.097,0.002,,0.736,0.106,0.097,0.06,0.002,,0.658,0.144,0.059,0.138,0.002,,0.155,0.229,0.034,0.019,0.057,0.033,0.023,0.093,0.115,0.003,0.071,0.081,0.087,,0.163,0.179,0.008,0.029,0.045,0.041,0.01,0.09,0.056,0.004,0.132,0.113,0.131,,0.147,0.283,0.061,0.008,0.07,0.025,0.037,0.096,0.179,0.002,0.006,0.048,0.04,M,F,F,M,F,M,F,F,F,M,M,M,M
Oklahoma,,0.615,0.007,0.608,0.577,0.031,0.385,,0.667,0.011,0.655,0.622,0.034,0.333,,0.564,0.002,0.562,0.535,0.027,0.436,,0.656,0.171,0.103,0.068,0.003,,0.687,0.145,0.121,0.044,0.003,,0.62,0.201,0.082,0.095,0.003,,0.147,0.217,0.03,0.02,0.057,0.037,0.028,0.097,0.116,0.006,0.103,0.064,0.078,,0.15,0.165,0.007,0.03,0.042,0.041,0.012,0.091,0.05,0.01,0.188,0.095,0.12,,0.143,0.275,0.056,0.009,0.073,0.032,0.045,0.104,0.191,0.003,0.008,0.03,0.031,M,F,F,M,F,M,F,F,F,M,M,M,M
Oregon,,0.626,0.001,0.625,0.59,0.035,0.374,,0.669,0.002,0.667,0.629,0.038,0.331,,0.585,0,0.584,0.552,0.032,0.415,,0.648,0.139,0.114,0.097,0.002,,0.703,0.111,0.122,0.062,0.002,,0.586,0.171,0.104,0.136,0.002,,0.166,0.244,0.041,0.016,0.06,0.032,0.025,0.093,0.111,0.015,0.073,0.053,0.07,,0.172,0.207,0.013,0.024,0.05,0.038,0.009,0.093,0.058,0.024,0.133,0.075,0.104,,0.159,0.285,0.072,0.008,0.071,0.027,0.042,0.094,0.17,0.006,0.007,0.029,0.032,M,F,F,M,F,M,F,F,F,M,M,M,M
Pennsylvania,,0.63,0.001,0.629,0.595,0.035,0.37,,0.674,0.001,0.672,0.634,0.039,0.326,,0.589,0,0.588,0.557,0.031,0.412,,0.686,0.109,0.081,0.123,0.002,,0.719,0.099,0.103,0.078,0.002,,0.65,0.121,0.056,0.171,0.002,,0.16,0.246,0.038,0.02,0.052,0.032,0.025,0.093,0.112,0.004,0.075,0.059,0.084,,0.17,0.195,0.011,0.03,0.043,0.039,0.012,0.09,0.053,0.006,0.141,0.084,0.128,,0.149,0.302,0.067,0.01,0.062,0.025,0.04,0.096,0.176,0.002,0.005,0.032,0.035,M,F,F,M,F,M,F,F,F,M,M,M,M
Rhode Island,,0.654,0.005,0.649,0.61,0.039,0.346,,0.696,0.008,0.688,0.644,0.044,0.304,,0.614,0.002,0.612,0.578,0.035,0.386,,0.667,0.131,0.082,0.118,0.002,,0.694,0.121,0.103,0.08,0.002,,0.639,0.141,0.06,0.159,0.002,,0.156,0.253,0.037,0.024,0.059,0.036,0.027,0.099,0.116,0.002,0.072,0.055,0.064,,0.16,0.208,0.009,0.035,0.052,0.049,0.013,0.1,0.058,0.003,0.138,0.076,0.098,,0.151,0.3,0.067,0.012,0.067,0.022,0.041,0.099,0.178,0.001,0.003,0.033,0.028,M,F,F,M,F,M,F,M,F,M,M,M,M
South Carolina,,0.605,0.009,0.597,0.565,0.032,0.395,,0.652,0.015,0.638,0.604,0.034,0.348,,0.562,0.003,0.558,0.528,0.03,0.439,,0.689,0.15,0.094,0.065,0.002,,0.723,0.116,0.116,0.043,0.003,,0.654,0.186,0.071,0.088,0.002,,0.144,0.222,0.028,0.021,0.059,0.04,0.024,0.104,0.11,0.004,0.088,0.079,0.077,,0.152,0.167,0.006,0.031,0.052,0.049,0.012,0.094,0.047,0.006,0.163,0.104,0.118,,0.136,0.28,0.051,0.01,0.067,0.031,0.037,0.115,0.176,0.002,0.009,0.053,0.034,M,F,F,M,F,M,F,F,F,M,M,M,M
South Dakota,,0.679,0.004,0.675,0.653,0.022,0.321,,0.718,0.008,0.71,0.684,0.026,0.282,,0.64,0.001,0.639,0.622,0.017,0.361,,0.613,0.152,0.122,0.111,0.003,,0.643,0.131,0.158,0.065,0.003,,0.579,0.176,0.08,0.162,0.003,,0.164,0.213,0.031,0.018,0.056,0.037,0.027,0.096,0.113,0.018,0.089,0.065,0.074,,0.188,0.15,0.007,0.025,0.046,0.04,0.01,0.096,0.043,0.028,0.162,0.089,0.117,,0.137,0.284,0.057,0.009,0.068,0.034,0.047,0.096,0.193,0.006,0.007,0.039,0.026,M,F,F,M,F,M,F,F,F,M,M,M,M
Tennessee,,0.618,0.003,0.614,0.582,0.033,0.383,,0.666,0.006,0.66,0.626,0.034,0.334,,0.572,0.001,0.571,0.54,0.031,0.428,,0.694,0.134,0.094,0.076,0.002,,0.718,0.11,0.117,0.053,0.002,,0.669,0.159,0.069,0.101,0.002,,0.149,0.221,0.028,0.021,0.056,0.036,0.023,0.099,0.115,0.004,0.083,0.078,0.089,,0.155,0.171,0.007,0.031,0.045,0.043,0.01,0.094,0.055,0.006,0.152,0.101,0.133,,0.143,0.276,0.05,0.01,0.068,0.028,0.037,0.105,0.181,0.002,0.007,0.053,0.041,M,F,F,M,F,M,F,F,F,M,M,M,M
Texas,,0.651,0.005,0.646,0.612,0.035,0.349,,0.717,0.008,0.71,0.672,0.037,0.283,,0.586,0.002,0.584,0.552,0.032,0.414,,0.703,0.136,0.102,0.057,0.002,,0.737,0.105,0.119,0.038,0.002,,0.664,0.172,0.081,0.081,0.002,,0.163,0.222,0.029,0.022,0.054,0.037,0.024,0.104,0.111,0.004,0.101,0.049,0.079,,0.167,0.179,0.008,0.031,0.045,0.037,0.011,0.097,0.055,0.006,0.179,0.069,0.118,,0.158,0.273,0.056,0.012,0.065,0.037,0.041,0.111,0.179,0.001,0.007,0.027,0.034,M,F,F,M,F,F,F,F,F,M,M,M,M
Utah,,0.692,0.002,0.689,0.665,0.024,0.309,,0.765,0.004,0.761,0.735,0.026,0.235,,0.618,0.001,0.617,0.595,0.022,0.383,,0.688,0.147,0.094,0.07,0.002,,0.72,0.123,0.104,0.052,0.001,,0.647,0.178,0.081,0.092,0.003,,0.168,0.237,0.025,0.016,0.046,0.033,0.026,0.099,0.131,0.003,0.086,0.06,0.07,,0.187,0.209,0.008,0.022,0.035,0.036,0.009,0.099,0.067,0.004,0.15,0.074,0.1,,0.143,0.271,0.046,0.008,0.06,0.03,0.048,0.099,0.212,0.002,0.006,0.042,0.033,M,F,F,M,F,M,F,F,F,M,M,M,M
Vermont,,0.651,0.002,0.649,0.624,0.025,0.349,,0.674,0.003,0.671,0.64,0.031,0.326,,0.628,0,0.628,0.608,0.02,0.372,,0.559,0.148,0.131,0.161,0.002,,0.62,0.115,0.158,0.106,0.002,,0.497,0.181,0.104,0.217,0.002,,0.165,0.276,0.029,0.013,0.055,0.039,0.026,0.086,0.101,0.013,0.088,0.059,0.05,,0.168,0.21,0.013,0.019,0.047,0.044,0.014,0.084,0.049,0.02,0.167,0.082,0.083,,0.163,0.342,0.047,0.007,0.062,0.034,0.038,0.087,0.154,0.007,0.008,0.036,0.017,M,F,F,M,F,M,F,F,F,M,M,M,M
Virginia,,0.66,0.019,0.641,0.611,0.029,0.341,,0.709,0.032,0.677,0.646,0.031,0.291,,0.612,0.007,0.605,0.578,0.028,0.388,,0.629,0.202,0.084,0.084,0.002,,0.661,0.184,0.096,0.057,0.002,,0.595,0.221,0.071,0.112,0.002,,0.192,0.271,0.026,0.027,0.049,0.033,0.027,0.09,0.102,0.003,0.075,0.041,0.064,,0.197,0.235,0.007,0.039,0.042,0.037,0.012,0.086,0.049,0.005,0.139,0.056,0.097,,0.186,0.311,0.048,0.014,0.057,0.028,0.043,0.094,0.159,0.001,0.007,0.025,0.028,M,F,F,M,F,M,F,F,F,M,M,M,M
Washington,,0.647,0.01,0.637,0.605,0.032,0.353,,0.701,0.016,0.685,0.65,0.035,0.299,,0.592,0.003,0.59,0.56,0.03,0.408,,0.661,0.156,0.097,0.084,0.002,,0.71,0.132,0.104,0.053,0.002,,0.603,0.185,0.089,0.121,0.002,,0.176,0.259,0.035,0.018,0.052,0.03,0.025,0.09,0.101,0.015,0.079,0.046,0.074,,0.179,0.23,0.011,0.026,0.044,0.035,0.009,0.084,0.05,0.02,0.141,0.064,0.107,,0.173,0.293,0.063,0.009,0.061,0.025,0.044,0.096,0.16,0.009,0.007,0.025,0.035,M,F,F,M,F,M,F,F,F,M,M,M,M
West Virginia,,0.533,0.001,0.532,0.498,0.034,0.467,,0.574,0.003,0.571,0.532,0.04,0.426,,0.494,0,0.493,0.465,0.028,0.507,,0.66,0.193,0.066,0.081,0.001,,0.707,0.163,0.075,0.054,0.001,,0.607,0.225,0.056,0.11,0.002,,0.118,0.228,0.043,0.024,0.059,0.039,0.024,0.1,0.112,0.003,0.105,0.057,0.09,,0.119,0.16,0.012,0.038,0.042,0.044,0.012,0.091,0.052,0.005,0.193,0.09,0.142,,0.117,0.303,0.077,0.008,0.077,0.033,0.038,0.11,0.179,0.001,0.006,0.02,0.032,M,F,F,M,F,M,F,F,F,M,M,M,M
Wisconsin,,0.661,0.001,0.66,0.637,0.023,0.339,,0.696,0.001,0.695,0.668,0.027,0.304,,0.626,0,0.626,0.607,0.02,0.374,,0.698,0.124,0.084,0.093,0.002,,0.745,0.099,0.102,0.052,0.002,,0.647,0.15,0.063,0.138,0.002,,0.155,0.225,0.038,0.016,0.051,0.031,0.023,0.088,0.11,0.009,0.077,0.096,0.081,,0.161,0.172,0.009,0.024,0.041,0.038,0.008,0.086,0.048,0.012,0.143,0.133,0.124,,0.149,0.282,0.069,0.007,0.062,0.025,0.039,0.091,0.177,0.004,0.005,0.055,0.035,M,F,F,M,F,M,F,F,F,M,M,M,M
Wyoming,,0.658,0.008,0.651,0.623,0.027,0.342,,0.71,0.012,0.698,0.664,0.034,0.29,,0.604,0.003,0.601,0.581,0.021,0.396,,0.6,0.211,0.114,0.072,0.004,,0.658,0.174,0.122,0.042,0.003,,0.531,0.254,0.104,0.107,0.004,,0.147,0.221,0.03,0.018,0.058,0.039,0.027,0.081,0.106,0.012,0.135,0.046,0.081,,0.154,0.167,0.004,0.025,0.047,0.039,0.013,0.073,0.036,0.018,0.237,0.068,0.119,,0.138,0.286,0.061,0.01,0.072,0.039,0.044,0.091,0.189,0.005,0.011,0.019,0.035,M,F,F,M,F,F,F,F,F,M,M,M,M
